number,name,status
0001,PEP Purpose and Guidelines,Active
0719,Python 3.13 Release Schedule,Active
0693,Python 3.12 Release Schedule,Active
0762,REPL-acing the default REPL,Final
0733,An Evaluation of Python’s Public C API,Final
0745,Python 3.14 Release Schedule,Active
0672,Unicode-related Security Considerations for Python,Active
0659,Specializing Adaptive Interpreter,Final
0636,Structural Pattern Matching: Tutorial,Final
0664,Python 3.11 Release Schedule,Active
0619,Python 3.10 Release Schedule,Active
0607,Reducing CPython’s Feature Delivery Latency,Final
0630,Isolating Extension Modules,Final
0588,GitHub Issues Migration Plan,Final
0596,Python 3.9 Release Schedule,Active
0635,Structural Pattern Matching: Motivation and Rationale,Final
8014,The Commons Governance Model,Rejected
8015,Organization of the Python community,Rejected
8013,The External Council Governance Model,Rejected
8012,The Community Governance Model,Rejected
8010,The Technical Leader Governance Model,Rejected
3153,Asynchronous IO support,Superseded
3145,Asynchronous I/O For subprocess.Popen,Withdrawn
8011,Python Governance Model Lead by Trio of Pythonistas,Rejected
3152,Cofunctions,Rejected
3146,Merging Unladen Swallow into CPython,Withdrawn
3142,Add a “while” clause to generator expressions,Rejected
3140,"str(container) should call str(item), not repr(item)",Rejected
3139,Cleaning out sys and the “interpreter” module,Rejected
3136,Labeled break and continue,Rejected
3133,Introducing Roles,Rejected
3128,BList: A Faster List-like Type,Rejected
3130,Access to Current Module/Class/Function,Rejected
3126,Remove Implicit String Concatenation,Rejected
3125,Remove Backslash Continuation,Rejected
3117,Postfix type declarations,Rejected
3122,Delineation of the main module,Rejected
3001,Procedure for reviewing and improving standard library modules,Withdrawn
0726,Module,Rejected
0754,IEEE 754 Floating Point Special Values,Rejected
0756,Add PyUnicode_Export() and PyUnicode_Import() C functions,Withdrawn
3103,A Switch/Case Statement,Rejected
0760,No More Bare Excepts,Withdrawn
0724,Stricter Type Guards,Withdrawn
0713,Callable Modules,Rejected
0722,Dependency specification for single-file scripts,Rejected
0704,Require virtual environments by default for package installers,Withdrawn
0707,A simplified signature for __exit__ and __aexit__,Rejected
0712,Adding a “converter” parameter to dataclasses.field,Rejected
0690,Lazy Imports,Rejected
0666,Reject Foolish Indentation,Rejected
0677,Callable Type Syntax,Rejected
0663,"Standardizing Enum str(), repr(), and format() behaviors",Rejected
0665,A file format to list Python dependencies for reproducibility of an application,Rejected
0651,Robust Stack Overflow Handling,Rejected
0650,Specifying Installer Requirements for Python Projects,Withdrawn
0662,Editable installs via virtual wheels,Rejected
0648,Extensible customizations of the interpreter at startup,Rejected
0641,Using an underscore in the version portion of Python 3.10 compatibility tags,Rejected
0645,Allow writing optional types as,Withdrawn
0642,Explicit Pattern Syntax for Structural Pattern Matching,Rejected
0640,Unused variable syntax,Rejected
0637,Support for indexing with keyword arguments,Rejected
0631,Dependency specification in pyproject.toml based on PEP 508,Superseded
0633,Dependency specification in pyproject.toml using an exploded TOML table,Rejected
0611,The one million limit,Withdrawn
0608,Coordinated Python release,Rejected
0622,Structural Pattern Matching,Superseded
0620,Hide implementation details from the C API,Withdrawn
0606,Python Compatibility Version,Rejected
0601,Forbid return/break/continue breaking out of finally,Rejected
0605,A rolling feature release stream for CPython,Rejected
0599,The manylinux2014 Platform Tag,Superseded
0598,Introducing incremental feature releases,Withdrawn
0583,A Concurrency Memory Model for Python,Withdrawn
0582,Python local packages directory,Rejected
0576,Rationalize Built-in function classes,Withdrawn
0577,Augmented Assignment Expressions,Withdrawn
0580,The C call protocol,Rejected
0595,Improving bugs.python.org,Withdrawn
0571,The manylinux2010 Platform Tag,Superseded
0575,Unifying function/method classes,Withdrawn
0559,Built-in noop(),Rejected
0555,Context-local variables (contextvars),Withdrawn
0551,Security transparency in the Python runtime,Withdrawn
0558,Defined semantics for locals(),Withdrawn
0554,Multiple Interpreters in the Stdlib,Superseded
0549,Instance Descriptors,Rejected
0548,More Flexible Loop Control,Rejected
0550,Execution Context,Withdrawn
0546,Backport ssl.MemoryBIO and ssl.SSLObject to Python 2.7,Rejected
0543,A Unified TLS API for Python,Withdrawn
0536,Final Grammar for Literal String Interpolation,Withdrawn
0542,Dot Notation Assignment In Function Header,Rejected
0531,Existence checking operators,Withdrawn
0522,Allow BlockingIOError in security sensitive APIs,Rejected
0521,Managing global context via ‘with’ blocks in generators and coroutines,Withdrawn
0516,Build system abstraction for pip/conda etc,Rejected
0513,A Platform Tag for Portable Linux Built Distributions,Superseded
0511,API for code transformers,Rejected
0509,Add a private version to dict,Superseded
0510,Specialize functions with guards,Rejected
0507,Migrate CPython to Git and GitLab,Rejected
0504,Using the System RNG by default,Withdrawn
0502,String Interpolation - Extended Discussion,Rejected
0500,A protocol for delegating datetime methods to their tzinfo implementations,Rejected
0501,General purpose template literal strings,Withdrawn
0497,A standard mechanism for backward compatibility,Rejected
0496,Environment Markers,Rejected
0490,Chain exceptions at C level,Rejected
0481,"Migrate CPython to Git, Github, and Phabricator",Withdrawn
0474,Creating forge.python.org,Withdrawn
0473,Adding structured data to built-in exceptions,Rejected
0472,Support for indexing with keyword arguments,Rejected
0469,Migration of dict iteration code to Python 3,Withdrawn
0459,Standard Metadata Extensions for Python Software Packages,Withdrawn
0463,Exception-catching expressions,Rejected
0460,Add binary interpolation and formatting,Withdrawn
0462,Core development workflow automation for CPython,Withdrawn
0455,Adding a key-transforming dictionary to collections,Rejected
0439,Inclusion of implicit pip bootstrap in Python installation,Rejected
0437,"A DSL for specifying signatures, annotations and argument converters",Rejected
0433,Easier suppression of file descriptor inheritance,Superseded
0432,Restructuring the CPython startup sequence,Withdrawn
0431,Time zone support improvements,Superseded
0422,Simpler customisation of class creation,Withdrawn
0416,Add a frozendict builtin type,Rejected
0426,Metadata for Python Software Packages 2.0,Withdrawn
0413,Faster evolution of the Python Standard Library,Withdrawn
0411,Provisional packages in the Python standard library,Superseded
0410,Use decimal.Decimal type for timestamps,Rejected
0408,Standard library __preview__ package,Rejected
0406,Improved Encapsulation of Import State,Withdrawn
0401,BDFL Retirement,April Fool!
0396,Module Version Numbers,Withdrawn
0402,Simplified Package Layout and Partitioning,Rejected
0395,Qualified Names for Modules,Withdrawn
0390,Static metadata for Distutils,Rejected
0386,Changing the version comparison module in Distutils,Superseded
0381,Mirroring infrastructure for PyPI,Withdrawn
0382,Namespace Packages,Rejected
0379,Adding an Assignment Expression,Withdrawn
0367,New Super,Superseded
0377,Allow __enter__() methods to skip the statement body,Rejected
0369,Post import hooks,Withdrawn
0365,Adding the pkg_resources module,Rejected
0364,Transitioning to the Py3K Standard Library,Withdrawn
0359,The “make” Statement,Withdrawn
0363,Syntax For Dynamic Attribute Access,Rejected
0354,Enumerations in Python,Superseded
0351,The freeze protocol,Rejected
0355,Path - Object oriented filesystem paths,Rejected
0348,Exception Reorganization for Python 3.0,Rejected
0349,Allow str() to return unicode strings,Rejected
0350,Codetags,Rejected
0345,Metadata for Python Software Packages 1.2,Superseded
0346,User Defined (”,Withdrawn
0344,Exception Chaining and Embedded Tracebacks,Superseded
0340,Anonymous Block Statements,Rejected
0336,Make None Callable,Rejected
0339,Design of the CPython Compiler,Withdrawn
0335,Overloadable Boolean Operators,Rejected
0334,Simple Coroutines via SuspendIteration,Withdrawn
0332,Byte vectors and String/Unicode Unification,Rejected
0330,Python Bytecode Verification,Rejected
0329,Treating Builtins as Constants in the Standard Library,Rejected
0326,A Case for Top and Bottom Values,Rejected
0325,Resource-Release Support for Generators,Rejected
0321,Date/Time Parsing and Formatting,Withdrawn
0317,Eliminate Implicit Exception Instantiation,Rejected
0319,Python Synchronize/Asynchronize Block,Rejected
0314,Metadata for Python Software Packages 1.1,Superseded
0315,Enhanced While Loop,Rejected
0313,Adding Roman Numeral Literals to Python,Rejected
0310,Reliable Acquisition/Release Pairs,Rejected
0306,How to Change Python’s Grammar,Withdrawn
0304,Controlling Generation of Bytecode Files,Withdrawn
0303,Extend divmod() for Multiple Divisors,Rejected
0299,Special __main__() function in modules,Rejected
0297,Support for System Upgrades,Rejected
0298,The Locked Buffer Interface,Withdrawn
0296,Adding a bytes Object Type,Withdrawn
0295,Interpretation of multiline string constants,Rejected
0294,Type Names in the types Module,Rejected
0291,Backward Compatibility for the Python 2 Standard Library,Superseded
0288,Generators Attributes and Exceptions,Withdrawn
0284,Integer for-loops,Rejected
0281,Loop Counter Iteration with range and xrange,Rejected
0276,Simple Iterator for ints,Rejected
0275,Switching on Multiple Values,Rejected
0271,Prefixing sys.path by command line option,Rejected
0270,uniq method for list objects,Rejected
0268,Extended HTTP functionality and WebDAV,Rejected
0265,Sorting Dictionaries by Value,Rejected
0266,Optimizing Global Variable/Attribute Access,Withdrawn
0262,A Database of Installed Python Packages,Rejected
0259,Omit printing newline after newline,Rejected
0258,Docutils Design Specification,Rejected
0256,Docstring Processing System Framework,Rejected
0254,Making Classes Look More Like Types,Rejected
0246,Object Adaptation,Rejected
0244,The,Rejected
0245,Python Interface Syntax,Rejected
0243,Module Repository Upload Mechanism,Withdrawn
0242,Numeric Kinds,Withdrawn
0241,Metadata for Python Software Packages,Superseded
0240,Adding a Rational Literal to Python,Rejected
0239,Adding a Rational Type to Python,Rejected
0231,__findattr__(),Rejected
0228,Reworking Python’s Numeric Model,Withdrawn
0225,Elementwise/Objectwise Operators,Rejected
0220,"Coroutines, Generators, Continuations",Rejected
0224,Attribute Docstrings,Rejected
0215,String Interpolation,Superseded
0216,Docstring Format,Withdrawn
0212,Loop Counter Iteration,Rejected
0211,Adding A New Outer Product Operator,Rejected
0210,Decoupling the Interpreter Loop,Rejected
0206,Python Advanced Library,Withdrawn
0209,Multi-dimensional Arrays,Withdrawn
0204,Range Literals,Rejected
0103,Collecting information about git,Withdrawn
0102,Doing Python Micro Releases,Superseded
0042,Feature Requests,Withdrawn
3150,Statement local namespaces (aka “given” clause),Deferred
0003,Guidelines for Handling Bug Reports,Withdrawn
0009,Sample Plaintext PEP Template,Withdrawn
3143,Standard daemon process library,Deferred
3124,"Overloading, Generic Functions, Interfaces, and Adaptation",Deferred
0568,Generator-sensitivity for Context Variables,Deferred
0674,Disallow using macros as l-values,Deferred
0734,Multiple Interpreters in the Stdlib,Deferred
0556,Threaded garbage collection,Deferred
0532,A circuit breaking protocol and binary operators,Deferred
0547,Running extension modules using the -m option,Deferred
0534,Improved Errors for Missing Standard Library Modules,Deferred
0535,Rich comparison chaining,Deferred
0505,None-aware operators,Deferred
0533,Deterministic cleanup for iterators,Deferred
0499,,Deferred
0491,The Wheel Binary Package Format 1.9,Deferred
0419,Protecting cleanup statements from interruptions,Deferred
0447,Add __getdescriptor__ method to metaclass,Deferred
0444,Python Web3 Interface,Deferred
0407,New release cycle and introducing long-term support versions,Deferred
0423,Naming conventions and recipes related to packaging,Deferred
0403,General purpose decorator clause (aka “@in” clause),Deferred
0400,Deprecate codecs.StreamReader and codecs.StreamWriter,Deferred
0368,Standard image protocol and class,Deferred
0337,Logging Usage in the Standard Library,Deferred
0323,Copyable Iterators,Deferred
0316,Programming by Contract for Python,Deferred
0312,Simple Implicit Lambda,Deferred
0286,Enhanced Argument Tuples,Deferred
0280,Optimizing access to globals,Deferred
0269,Pgen Module for Python,Deferred
0267,Optimized Access to Module Namespaces,Deferred
0233,Python Online Help,Deferred
0222,Web Library Enhancements,Deferred
0219,Stackless Python,Deferred
0213,Attribute Access Handlers,Deferred
8001,Python Governance Voting Process,Final
3003,Python Language Moratorium,Final
3099,Things that will Not Change in Python 3000,Final
3100,Miscellaneous Python 3.0 Plans,Final
3002,Procedure for Backwards-Incompatible Changes,Final
3000,Python 3000,Final
0569,Python 3.8 Release Schedule,Final
0581,Using GitHub Issues for CPython,Final
0537,Python 3.7 Release Schedule,Final
0541,Package Index Name Retention,Final
0494,Python 3.6 Release Schedule,Final
0512,Migrating from hg.python.org to GitHub,Final
0478,Python 3.5 Release Schedule,Final
0470,Removing External Hosting Support on PyPI,Final
0464,Removal of the PyPI Mirror Authenticity API,Final
0449,Removal of the PyPI Mirror Auto Discovery and Naming Scheme,Final
0438,Transitioning to release-file hosting on PyPI,Superseded
0429,Python 3.4 Release Schedule,Final
0404,Python 2.8 Un-release Schedule,Final
0398,Python 3.3 Release Schedule,Final
0392,Python 3.2 Release Schedule,Final
0375,Python 3.1 Release Schedule,Final
0385,Migrating from Subversion to Mercurial,Final
0374,Choosing a distributed VCS for the Python project,Final
0373,Python 2.7 Release Schedule,Final
0347,Migrating the Python CVS to Subversion,Final
0361,Python 2.6 and 3.0 Release Schedule,Final
0356,Python 2.5 Release Schedule,Final
0360,Externally Maintained Packages,Final
0283,Python 2.3 Release Schedule,Final
0320,Python 2.4 Release Schedule,Final
0226,Python 2.1 Release Schedule,Final
0251,Python 2.2 Release Schedule,Final
